,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,
-,-,10,2018/10/23 10:14,5693,乗客アプリ（地図から）,3762,809,3,3,,2018/10/23 10:19,2018/10/23 10:22,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/23 10:21,2018/10/23 10:21,2018/10/23 10:27,2018/10/23 10:27,,2018/10/23 10:14,0:03:20,0:10:00,,00,05,,,,,
★,-,10,2018/10/23 10:20,5694,乗客アプリ（目的地から）,3764,701,9,1,,2018/10/23 10:48,2018/10/23 11:02,35.447541 139.644914,シルク博物館,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/23 10:50,2018/10/23 10:50,2018/10/23 11:05,2018/10/23 11:05,2018/10/23 10:50,2018/10/23 10:50,0:14:04,0:14:04,,00,00,,,,,
-,-,10,2018/10/23 10:23,5695,まちかど設置端末（地図から）,0,861,1,1,,2018/10/23 10:27,2018/10/23 10:38,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/23 10:26,2018/10/23 10:26,2018/10/23 10:42,2018/10/23 10:42,,2018/10/23 10:23,0:10:50,0:10:50,,00,03,,,,,
-,-,10,2018/10/23 10:23,5696,まちかど設置端末（地図から）,0,614,10,2,,2018/10/23 10:30,2018/10/23 10:41,35.456605 139.635327,横浜ベイホテル東急,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/23 10:31,2018/10/23 10:31,2018/10/23 10:50,2018/10/23 10:50,,2018/10/23 10:23,0:10:56,0:21:52,,00,07,,,,,
-,-,10,2018/10/23 10:25,5697,まちかど設置端末（店舗から）,0,1168,4,3,,2018/10/23 10:28,2018/10/23 10:46,35.456605 139.635327,横浜ベイホテル東急,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/23 10:28,2018/10/23 10:28,2018/10/23 10:41,2018/10/23 10:41,,2018/10/23 10:25,0:18:48,0:56:24,,00,02,,,,,
-,-,10,2018/10/23 10:27,5698,乗客アプリ（地図から）,2351,355,3,1,,2018/10/23 10:35,2018/10/23 10:43,35.447541 139.644914,シルク博物館,35.454389 139.630904,横浜ランドマークタワー,2018/10/23 10:31,2018/10/23 10:31,2018/10/23 10:46,2018/10/23 10:46,,2018/10/23 10:27,0:08:36,0:08:36,,03,07,,,,,
-,-,10,2018/10/23 10:29,5699,乗客アプリ（地図から）,3763,904,4,3,,2018/10/23 10:39,2018/10/23 10:52,35.443908 139.635249,イセザキ・モール,35.445857 139.647636,ホテルモントレ横浜,2018/10/23 10:40,2018/10/23 10:40,2018/10/23 10:55,2018/10/23 10:55,,2018/10/23 10:29,0:13:04,0:39:12,,00,09,,,,,
-,-,10,2018/10/23 10:32,5700,まちかど設置端末（地図から）,0,309,7,1,,2018/10/23 10:38,2018/10/23 10:58,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/23 10:40,2018/10/23 10:40,2018/10/23 10:54,2018/10/23 10:54,,2018/10/23 10:32,0:20:06,0:20:06,,00,05,,,,,
-,-,10,2018/10/23 10:40,5701,乗客アプリ（地図から）,2137,583,7,2,,2018/10/23 10:45,2018/10/23 10:53,35.454389 139.630904,横浜ランドマークタワー,35.443908 139.635249,イセザキ・モール,2018/10/23 10:45,2018/10/23 10:45,2018/10/23 10:55,2018/10/23 10:55,,2018/10/23 10:40,0:08:02,0:16:04,,00,04,,,,,
-,-,10,2018/10/23 10:57,5703,まちかど設置端末（地図から）,0,1023,7,3,,2018/10/23 11:02,2018/10/23 11:14,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/23 11:01,2018/10/23 11:01,2018/10/23 11:15,2018/10/23 11:23,,2018/10/23 10:57,0:12:19,0:36:57,,00,04,,,,,
-,-,10,2018/10/23 10:57,5704,乗客アプリ（地図から）,2171,1195,6,1,,2018/10/23 10:59,2018/10/23 11:04,35.454389 139.630904,横浜ランドマークタワー,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/23 11:01,2018/10/23 11:01,2018/10/23 11:07,2018/10/23 11:07,,2018/10/23 10:57,0:04:22,0:04:22,,00,02,,,,,
-,-,10,2018/10/23 10:58,5705,乗客アプリ（地図から）,3770,1254,4,3,,2018/10/23 11:02,2018/10/23 11:15,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/23 11:01,2018/10/23 11:03,2018/10/23 11:15,2018/10/23 11:19,,2018/10/23 10:58,0:13:07,0:39:21,,00,04,,,,,
-,-,10,2018/10/23 10:58,5706,まちかど設置端末（地図から）,0,900,7,1,,2018/10/23 11:06,2018/10/23 11:10,35.447541 139.644914,シルク博物館,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/23 11:07,2018/10/23 11:07,2018/10/23 11:16,2018/10/23 11:16,,2018/10/23 10:58,0:04:09,0:04:09,,00,07,,,,,
-,-,10,2018/10/23 10:58,5707,乗客アプリ（地図から）,2892,323,4,2,,2018/10/23 11:06,2018/10/23 11:23,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.45435 139.631762,横浜ロイヤルパークホテル,2018/10/23 11:07,2018/10/23 11:07,2018/10/23 11:27,2018/10/23 11:27,,2018/10/23 10:58,0:17:04,0:34:08,,00,07,,,,,
-,☆,10,2018/10/23 9:56,5685,乗客アプリ（地図から）,2291,839,1,1,2018/10/23 9:57,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/23 10:11,,2018/10/23 10:26,,,2018/10/23 9:56,0:00:00,0:00:00,,00,11,,,,2018/10/23 10:00,※10時以前に予約しているため
-,☆,10,2018/10/23 10:51,5702,乗客アプリ（目的地から）,3173,1088,7,1,2018/10/23 10:51,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443073 139.651914,横浜人形の家,2018/10/23 10:59,,2018/10/23 11:08,,,2018/10/23 10:51,0:00:00,0:00:00,,00,08,,,,,
-,☆,10,2018/10/23 10:59,5708,まちかど設置端末（地図から）,0,411,2,1,2018/10/23 11:00,,,35.443073 139.651914,横浜人形の家,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/23 11:10,,2018/10/23 11:24,,,2018/10/23 10:59,0:00:00,0:00:00,,00,10,,,,,
-,-,11,2018/10/23 11:07,5710,まちかど設置端末（地図から）,0,545,5,3,,2018/10/23 11:13,2018/10/23 11:18,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/23 11:14,2018/10/23 11:14,2018/10/23 11:23,2018/10/23 11:23,,2018/10/23 11:07,0:05:07,0:15:21,189,00,05,05,05,,,
-,-,11,2018/10/23 11:11,5712,乗客アプリ（地図から）,3578,854,8,1,,2018/10/23 11:14,2018/10/23 11:22,35.450681 139.632446,横浜桜木町ワシントンホテル,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/23 11:13,2018/10/23 11:13,2018/10/23 11:24,2018/10/23 11:24,,2018/10/23 11:11,0:08:12,0:08:12,,00,02,,,,,
-,-,11,2018/10/23 11:14,5713,まちかど設置端末（地図から）,0,483,8,1,,2018/10/23 11:26,2018/10/23 11:37,35.443073 139.651914,横浜人形の家,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/10/23 11:25,2018/10/23 11:25,2018/10/23 11:36,2018/10/23 11:41,,2018/10/23 11:14,0:10:29,0:10:29,,01,12,,,,,
-,-,11,2018/10/23 11:16,5714,乗客アプリ（地図から）,1239,1276,2,5,,2018/10/23 11:22,2018/10/23 11:25,35.453715 139.638133,横浜ワールドポーターズ,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/23 11:20,2018/10/23 11:20,2018/10/23 11:29,2018/10/23 11:29,,2018/10/23 11:16,0:02:39,0:13:15,,02,06,,,,,
-,-,11,2018/10/23 11:17,5715,乗客アプリ（地図から）,2171,1181,4,1,,2018/10/23 11:18,2018/10/23 11:25,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/23 11:21,2018/10/23 11:21,2018/10/23 11:30,2018/10/23 11:30,,2018/10/23 11:17,0:06:57,0:06:57,,00,01,,,,,
-,-,11,2018/10/23 11:19,5716,まちかど設置端末（地図から）,0,775,7,1,,2018/10/23 11:24,2018/10/23 11:29,35.450447 139.635947,みなとみらい線　馬車道駅,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/23 11:25,2018/10/23 11:25,2018/10/23 11:34,2018/10/23 11:34,,2018/10/23 11:19,0:04:48,0:04:48,,00,04,,,,,
-,-,11,2018/10/23 11:19,5717,まちかど設置端末（地図から）,0,1119,8,2,,2018/10/23 11:27,2018/10/23 11:31,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/23 11:29,2018/10/23 11:29,2018/10/23 11:34,2018/10/23 11:34,,2018/10/23 11:19,0:04:37,0:09:14,,00,07,,,,,
-,-,11,2018/10/23 11:22,5718,乗客アプリ（地図から）,2129,649,5,1,,2018/10/23 11:28,2018/10/23 11:31,35.447546 139.64358,横浜開港資料館,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/10/23 11:25,2018/10/23 11:25,2018/10/23 11:30,2018/10/23 11:30,,2018/10/23 11:22,0:03:26,0:03:26,,02,05,,,,,
-,-,11,2018/10/23 11:25,5719,乗客アプリ（地図から）,1569,983,4,1,,2018/10/23 11:33,2018/10/23 11:41,35.443908 139.635249,イセザキ・モール,35.456605 139.635327,横浜ベイホテル東急,2018/10/23 11:32,2018/10/23 11:32,2018/10/23 11:43,2018/10/23 11:43,,2018/10/23 11:25,0:07:51,0:07:51,,00,07,,,,,
-,-,11,2018/10/23 11:25,5720,乗客アプリ（地図から）,3770,563,2,3,,2018/10/23 11:30,2018/10/23 11:41,35.452963 139.642093,横浜赤レンガ倉庫,35.441441 139.648505,横浜中華街朱雀門,2018/10/23 11:27,2018/10/23 11:27,2018/10/23 11:39,2018/10/23 11:42,,2018/10/23 11:25,0:11:06,0:33:18,,02,04,,,,,
-,-,11,2018/10/23 11:26,5721,乗客アプリ（地図から）,3772,464,2,3,,2018/10/23 11:30,2018/10/23 11:41,35.452963 139.642093,横浜赤レンガ倉庫,35.441441 139.648505,横浜中華街朱雀門,2018/10/23 11:28,2018/10/23 11:28,2018/10/23 11:41,2018/10/23 11:41,,2018/10/23 11:26,0:10:57,0:32:51,,01,04,,,,,
★,-,11,2018/10/23 11:42,5722,乗客アプリ（簡単予約）,2161,746,8,1,,2018/10/23 12:36,2018/10/23 12:54,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/23 12:42,2018/10/23 12:42,2018/10/23 12:52,2018/10/23 13:01,2018/10/23 12:42,2018/10/23 12:42,0:17:49,0:17:49,,00,00,,,,,
-,-,11,2018/10/23 11:42,5723,まちかど設置端末（店舗から）,0,590,3,3,,2018/10/23 11:50,2018/10/23 11:57,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/10/23 11:48,2018/10/23 11:48,2018/10/23 11:58,2018/10/23 11:58,,2018/10/23 11:42,0:06:51,0:20:33,,02,08,,,,,
-,-,11,2018/10/23 11:59,5724,乗客アプリ（目的地から）,1747,379,10,1,,2018/10/23 12:02,2018/10/23 12:08,35.452963 139.642093,横浜赤レンガ倉庫,35.445857 139.647636,ホテルモントレ横浜,2018/10/23 12:01,2018/10/23 12:01,2018/10/23 12:08,2018/10/23 12:08,,2018/10/23 11:59,0:05:32,0:05:32,,01,03,,,,,
-,☆,11,2018/10/23 11:07,5711,まちかど設置端末（地図から）,0,1027,7,1,2018/10/23 11:08,,,35.453715 139.638133,横浜ワールドポーターズ,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/23 11:17,,2018/10/23 11:34,,,2018/10/23 11:07,0:00:00,0:00:00,,00,09,,,,,
★,-,12,2018/10/23 11:05,5709,まちかど設置端末（店舗から）,0,1021,5,3,,2018/10/23 12:02,2018/10/23 12:08,35.447541 139.644914,シルク博物館,35.454389 139.630904,横浜ランドマークタワー,2018/10/23 12:05,2018/10/23 12:05,2018/10/23 12:18,2018/10/23 12:28,2018/10/23 12:05,2018/10/23 12:05,0:06:03,0:18:09,277,00,00,04,04,,,
-,-,12,2018/10/23 12:05,5726,乗客アプリ（地図から）,1239,389,5,1,,2018/10/23 12:14,2018/10/23 12:19,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/23 12:11,2018/10/23 12:11,2018/10/23 12:23,2018/10/23 12:23,,2018/10/23 12:05,0:04:54,0:04:54,,02,08,,,,,
-,-,12,2018/10/23 12:10,5727,乗客アプリ（地図から）,1771,1031,9,1,,2018/10/23 12:13,2018/10/23 12:22,35.450681 139.632446,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/10/23 12:12,2018/10/23 12:12,2018/10/23 12:18,2018/10/23 12:18,,2018/10/23 12:10,0:09:22,0:09:22,,00,02,,,,,
-,-,12,2018/10/23 12:16,5728,まちかど設置端末（地図から）,0,541,10,2,,2018/10/23 12:20,2018/10/23 12:27,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.445857 139.647636,ホテルモントレ横浜,2018/10/23 12:22,2018/10/23 12:22,2018/10/23 12:38,2018/10/23 12:38,,2018/10/23 12:16,0:06:43,0:13:26,,00,04,,,,,
★,-,12,2018/10/23 12:19,5731,乗客アプリ（目的地から）,2960,1028,8,3,,2018/10/23 12:51,2018/10/23 12:57,35.45435 139.631762,横浜ロイヤルパークホテル,35.447541 139.644914,シルク博物館,2018/10/23 12:49,2018/10/23 12:49,2018/10/23 13:05,2018/10/23 13:05,2018/10/23 12:49,2018/10/23 12:49,0:05:53,0:17:39,,02,02,,,,,
-,-,12,2018/10/23 12:25,5732,まちかど設置端末（地図から）,0,840,2,1,,2018/10/23 12:26,2018/10/23 12:31,35.445857 139.647636,ホテルモントレ横浜,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/23 12:27,2018/10/23 12:27,2018/10/23 12:32,2018/10/23 12:32,,2018/10/23 12:25,0:04:07,0:04:07,,00,01,,,,,
-,-,12,2018/10/23 12:28,5733,まちかど設置端末（地図から）,0,1051,7,2,,2018/10/23 12:33,2018/10/23 12:37,35.452963 139.642093,横浜赤レンガ倉庫,35.441441 139.648505,横浜中華街朱雀門,2018/10/23 12:33,2018/10/23 12:33,2018/10/23 12:44,2018/10/23 12:51,,2018/10/23 12:28,0:04:19,0:08:38,,00,04,,,,,
-,-,12,2018/10/23 12:29,5734,乗客アプリ（地図から）,2129,429,7,1,,2018/10/23 12:33,2018/10/23 12:37,35.448801 139.636702,ホテルルートイン横浜馬車道,35.447546 139.64358,横浜開港資料館,2018/10/23 12:39,2018/10/23 12:39,2018/10/23 12:45,2018/10/23 12:45,,2018/10/23 12:29,0:03:53,0:03:53,,00,03,,,,,
-,-,12,2018/10/23 12:33,5735,まちかど設置端末（地図から）,0,1209,3,2,,2018/10/23 12:38,2018/10/23 12:53,35.445783 139.642958,横浜情報文化センター,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/23 12:36,2018/10/23 12:36,2018/10/23 12:50,2018/10/23 12:55,,2018/10/23 12:33,0:15:24,0:30:48,,01,04,,,,,
-,-,12,2018/10/23 12:34,5736,乗客アプリ（目的地から）,1396,1245,1,2,,2018/10/23 12:37,2018/10/23 12:48,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/23 12:35,2018/10/23 12:35,2018/10/23 12:46,2018/10/23 12:51,,2018/10/23 12:34,0:11:46,0:23:32,,01,02,,,,,
-,-,12,2018/10/23 12:35,5737,乗客アプリ（目的地から）,3781,1017,9,3,,2018/10/23 12:40,2018/10/23 12:47,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/23 12:37,2018/10/23 12:37,2018/10/23 12:49,2018/10/23 12:49,,2018/10/23 12:35,0:07:38,0:22:54,,02,04,,,,,
-,-,12,2018/10/23 12:36,5738,まちかど設置端末（地図から）,0,389,1,1,,2018/10/23 12:46,2018/10/23 12:57,35.445857 139.647636,ホテルモントレ横浜,35.443908 139.635249,イセザキ・モール,2018/10/23 12:48,2018/10/23 12:48,2018/10/23 12:59,2018/10/23 12:59,,2018/10/23 12:36,0:10:36,0:10:36,,00,09,,,,,
-,-,12,2018/10/23 12:38,5739,まちかど設置端末（店舗から）,0,789,3,2,,2018/10/23 12:44,2018/10/23 13:02,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/23 12:46,2018/10/23 12:46,2018/10/23 13:09,2018/10/23 13:09,,2018/10/23 12:38,0:18:11,0:36:22,,00,06,,,,,
-,-,12,2018/10/23 12:39,5740,まちかど設置端末（地図から）,0,902,7,1,,2018/10/23 12:41,2018/10/23 12:51,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.456605 139.635327,横浜ベイホテル東急,2018/10/23 12:41,2018/10/23 12:41,2018/10/23 12:55,2018/10/23 12:55,,2018/10/23 12:39,0:10:33,0:10:33,,00,02,,,,,
-,-,12,2018/10/23 12:43,5741,乗客アプリ（地図から）,2129,687,9,1,,2018/10/23 12:53,2018/10/23 12:59,35.448801 139.636702,ホテルルートイン横浜馬車道,35.447546 139.64358,横浜開港資料館,2018/10/23 12:48,2018/10/23 12:48,2018/10/23 13:01,2018/10/23 13:01,,2018/10/23 12:43,0:06:04,0:06:04,,04,09,,,,,
-,-,12,2018/10/23 12:47,5742,乗客アプリ（地図から）,3783,926,2,1,,2018/10/23 12:52,2018/10/23 13:05,35.452963 139.642093,横浜赤レンガ倉庫,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/23 12:54,2018/10/23 12:54,2018/10/23 13:03,2018/10/23 13:05,,2018/10/23 12:47,0:13:33,0:13:33,,00,04,,,,,
-,-,12,2018/10/23 12:55,5743,まちかど設置端末（地図から）,0,493,2,2,,2018/10/23 13:01,2018/10/23 13:23,35.45435 139.631762,横浜ロイヤルパークホテル,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/10/23 13:01,2018/10/23 13:01,2018/10/23 13:09,2018/10/23 13:09,,2018/10/23 12:55,0:21:17,0:42:34,,00,06,,,,,
-,☆,12,2018/10/23 12:02,5725,乗客アプリ（地図から）,1239,772,9,1,2018/10/23 12:05,,,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/23 12:07,,2018/10/23 12:19,,,2018/10/23 12:02,0:00:00,0:00:00,,00,05,,,,,
-,-,13,2018/10/23 13:06,5744,乗客アプリ（地図から）,3429,555,9,1,,2018/10/23 13:10,2018/10/23 13:22,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/23 13:10,2018/10/23 13:10,2018/10/23 13:23,2018/10/23 13:23,,2018/10/23 13:06,0:11:31,0:11:31,233,00,04,06,05,,,
-,-,13,2018/10/23 13:21,5747,乗客アプリ（目的地から）,3774,882,1,2,,2018/10/23 13:26,2018/10/23 13:48,35.443659 139.650847,横浜マリンタワー,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/23 13:22,2018/10/23 13:26,2018/10/23 13:35,2018/10/23 13:44,,2018/10/23 13:21,0:21:53,0:43:46,,03,05,,,,,
★,-,13,2018/10/23 13:23,5749,まちかど設置端末（地図から）,0,941,3,1,,2018/10/23 13:51,2018/10/23 14:09,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.454389 139.630904,横浜ランドマークタワー,2018/10/23 13:53,2018/10/23 13:53,2018/10/23 14:12,2018/10/23 14:12,2018/10/23 13:53,2018/10/23 13:53,0:18:48,0:18:48,,00,00,,,,,
-,-,13,2018/10/23 13:24,5750,まちかど設置端末（店舗から）,0,1106,1,1,,2018/10/23 13:35,2018/10/23 13:54,35.441002 139.650809,横浜元町ショッピングストリート,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/23 13:31,2018/10/23 13:31,2018/10/23 13:53,2018/10/23 13:53,,2018/10/23 13:24,0:19:08,0:19:08,,04,11,,,,,
-,-,13,2018/10/23 13:32,5752,乗客アプリ（目的地から）,1339,912,6,1,,2018/10/23 13:36,2018/10/23 13:47,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/10/23 13:35,2018/10/23 13:37,2018/10/23 13:47,2018/10/23 13:50,,2018/10/23 13:32,0:10:22,0:10:22,,00,04,,,,,
-,-,13,2018/10/23 13:34,5753,乗客アプリ（目的地から）,2160,366,6,1,,2018/10/23 13:41,2018/10/23 13:56,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/23 13:43,2018/10/23 13:43,2018/10/23 14:00,2018/10/23 14:00,,2018/10/23 13:34,0:14:48,0:14:48,,00,07,,,,,
-,-,13,2018/10/23 13:34,5754,乗客アプリ（目的地から）,1747,1005,4,1,,2018/10/23 13:39,2018/10/23 13:48,35.445857 139.647636,ホテルモントレ横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/23 13:36,2018/10/23 13:36,2018/10/23 13:45,2018/10/23 13:45,,2018/10/23 13:34,0:09:01,0:09:01,,03,05,,,,,
-,-,13,2018/10/23 13:37,5755,まちかど設置端末（地図から）,0,1118,2,1,,2018/10/23 13:41,2018/10/23 13:47,35.456605 139.635327,横浜ベイホテル東急,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/23 13:44,2018/10/23 13:44,2018/10/23 13:52,2018/10/23 13:52,,2018/10/23 13:37,0:05:35,0:05:35,,00,04,,,,,
-,-,13,2018/10/23 13:48,5758,乗客アプリ（地図から）,2137,1212,8,1,,2018/10/23 13:55,2018/10/23 14:01,35.443908 139.635249,イセザキ・モール,35.441441 139.648505,横浜中華街朱雀門,2018/10/23 13:55,2018/10/23 13:55,2018/10/23 14:04,2018/10/23 14:04,,2018/10/23 13:48,0:06:40,0:06:40,,00,06,,,,,
