,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,,,
-,-,10,2018/11/2 10:52,8491,まちかど端末（乗降ポイントから）,0,229,10,1,,2018/11/2 10:55,2018/11/2 11:18,35.447541 139.644914,シルク博物館,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/2 10:53,2018/11/2 10:53,2018/11/2 11:09,2018/11/2 11:24,,2018/11/2 10:52,0:22:14,0:22:14,,02,03,,,2018/11/2 10:52,2018/11/2 11:18,43406.452777777843406.4708333333,#N/A,,,,
-,-,10,2018/11/2 10:55,8493,まちかど端末（乗降ポイントから）,0,629,7,3,,2018/11/2 11:05,2018/11/2 11:16,35.445857 139.647636,ホテルモントレ横浜,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/2 10:57,2018/11/2 10:57,2018/11/2 11:14,2018/11/2 11:14,,2018/11/2 10:55,0:11:08,0:33:24,,08,09,,,2018/11/2 10:55,2018/11/2 11:16,43406.454861111143406.4694444444,#N/A,,,,
-,-,10,2018/11/2 10:57,8494,乗客アプリWeb（目的地から）,4700,535,5,3,,2018/11/2 11:00,2018/11/2 11:04,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/2 11:01,2018/11/2 11:01,2018/11/2 11:12,2018/11/2 11:12,,2018/11/2 10:57,0:04:32,0:13:36,,00,02,,,2018/11/2 10:57,2018/11/2 11:04,43406.4562543406.4611111111,#N/A,,,,
★,☆,10,2018/11/2 9:41,8472,乗客アプリ（簡単予約）,3545,529,1,1,2018/11/2 9:42,,,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.454389 139.630904,横浜ランドマークタワー,2018/11/2 10:13,,2018/11/2 10:28,,2018/11/2 9:51,2018/11/2 9:51,0:00:00,0:00:00,,00,00,,,2018/11/2 9:41,1900/1/0 0:00,43406.40347222220,#N/A,,2018/11/2 10:00,※10時以前に予約しているため,※21行と同一人物と思われるため一番短いものを採用
-,☆,10,2018/11/2 10:00,8477,乗客アプリ（簡単予約）,3545,484,6,1,2018/11/2 10:01,,,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.454389 139.630904,横浜ランドマークタワー,2018/11/2 10:14,,2018/11/2 10:29,,,2018/11/2 10:00,0:00:00,0:00:00,,00,,,,2018/11/2 10:00,1900/1/0 0:00,43406.41666666670,#N/A,,,,※20行と同一人物と思われるため一番短いものを採用
★,☆,10,2018/11/2 10:43,8488,乗客アプリWeb（目的地から）,4616,865,6,1,2018/11/2 10:57,,,35.445857 139.647636,ホテルモントレ横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/2 10:53,,2018/11/2 11:03,,2018/11/2 10:53,2018/11/2 10:53,0:00:00,0:00:00,,00,04,,,2018/11/2 10:43,1900/1/0 0:00,43406.44652777780,#N/A,,,,
-,☆,10,2018/11/2 10:46,8490,まちかど端末（店舗から）,0,623,2,1,2018/11/2 10:57,,,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443908 139.635249,イセザキ・モール,2018/11/2 10:50,,2018/11/2 10:54,,,2018/11/2 10:46,0:00:00,0:00:00,,00,11,,,2018/11/2 10:46,1900/1/0 0:00,43406.44861111110,#N/A,,,,
★,-,11,2018/11/2 10:19,8485,まちかど端末（乗降ポイントから）,0,719,8,5,,2018/11/2 11:19,2018/11/2 11:26,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.445783 139.642958,横浜情報文化センター,2018/11/2 11:19,2018/11/2 11:19,2018/11/2 11:34,2018/11/2 11:34,2018/11/2 11:19,2018/11/2 11:19,0:06:40,0:33:20,221,00,00,03,02,2018/11/2 10:19,2018/11/2 11:26,43406.429861111143406.4763888889,#N/A,,,,
★,-,11,2018/11/2 10:52,8492,乗客アプリ（地図から）,3378,832,10,2,,2018/11/2 11:01,2018/11/2 11:09,35.441441 139.648505,横浜中華街朱雀門,35.443908 139.635249,イセザキ・モール,2018/11/2 11:02,2018/11/2 11:02,2018/11/2 11:11,2018/11/2 11:11,2018/11/2 11:02,2018/11/2 11:02,0:08:19,0:16:38,,00,00,,,2018/11/2 10:52,2018/11/2 11:09,43406.452777777843406.4645833333,#N/A,,,,
-,-,11,2018/11/2 11:03,8495,まちかど端末（店舗から）,0,62,6,1,,2018/11/2 11:07,2018/11/2 11:10,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443659 139.650847,横浜マリンタワー,2018/11/2 11:06,2018/11/2 11:09,2018/11/2 11:08,2018/11/2 11:12,,2018/11/2 11:03,0:02:39,0:02:39,,01,04,,,2018/11/2 11:03,2018/11/2 11:10,43406.460416666743406.4652777778,#N/A,,,,
-,-,11,2018/11/2 11:03,8496,まちかど端末（店舗から）,0,295,1,1,,2018/11/2 11:07,2018/11/2 11:19,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443908 139.635249,イセザキ・モール,2018/11/2 11:08,2018/11/2 11:08,2018/11/2 11:20,2018/11/2 11:20,,2018/11/2 11:03,0:11:12,0:11:12,,00,04,,,2018/11/2 11:03,2018/11/2 11:19,43406.460416666743406.4715277778,#N/A,,,,
-,-,11,2018/11/2 11:04,8497,乗客アプリ（目的地から）,4703,406,4,1,,2018/11/2 11:07,2018/11/2 11:10,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443659 139.650847,横浜マリンタワー,2018/11/2 11:07,2018/11/2 11:07,2018/11/2 11:09,2018/11/2 11:09,,2018/11/2 11:04,0:02:45,0:02:45,,00,03,,,2018/11/2 11:04,2018/11/2 11:10,43406.461111111143406.4652777778,#N/A,,,,
-,-,11,2018/11/2 11:06,8498,乗客アプリWeb（目的地から）,4616,491,6,1,,2018/11/2 11:14,2018/11/2 11:20,35.445857 139.647636,ホテルモントレ横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/2 11:14,2018/11/2 11:14,2018/11/2 11:25,2018/11/2 11:25,,2018/11/2 11:06,0:05:38,0:05:38,,00,07,,,2018/11/2 11:06,2018/11/2 11:20,43406.462543406.4722222222,否定的,,,,
-,-,11,2018/11/2 11:21,8499,乗客アプリ（目的地から）,3587,621,9,1,,2018/11/2 11:23,2018/11/2 11:32,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/2 11:24,2018/11/2 11:24,2018/11/2 11:35,2018/11/2 11:35,,2018/11/2 11:21,0:08:35,0:08:35,,00,02,,,2018/11/2 11:21,2018/11/2 11:32,43406.472916666743406.4805555556,#N/A,,,,
-,-,11,2018/11/2 11:22,8500,乗客アプリ（簡単予約）,1725,921,6,1,,2018/11/2 11:24,2018/11/2 11:31,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/2 11:25,2018/11/2 11:25,2018/11/2 11:34,2018/11/2 11:34,,2018/11/2 11:22,0:06:31,0:06:31,,00,02,,,2018/11/2 11:22,2018/11/2 11:31,43406.473611111143406.4798611111,肯定的,,,,
★,-,11,2018/11/2 11:23,8501,乗客アプリ（地図から）,3869,667,8,3,,2018/11/2 11:31,2018/11/2 11:43,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/2 11:33,2018/11/2 11:33,2018/11/2 11:53,2018/11/2 11:53,2018/11/2 11:33,2018/11/2 11:33,0:12:28,0:37:24,,00,00,,,2018/11/2 11:23,2018/11/2 11:43,43406.474305555643406.4881944444,#N/A,,,,
-,-,11,2018/11/2 11:34,8502,まちかど端末（乗降ポイントから）,0,214,9,1,,2018/11/2 11:39,2018/11/2 11:49,35.443704 139.651332,ホテルメルパルク横浜,35.443908 139.635249,イセザキ・モール,2018/11/2 11:37,2018/11/2 11:38,2018/11/2 11:46,2018/11/2 11:53,,2018/11/2 11:34,0:10:22,0:10:22,,02,04,,,2018/11/2 11:34,2018/11/2 11:49,43406.481944444443406.4923611111,#N/A,,,,
★,-,11,2018/11/2 11:38,8503,乗客アプリ（地図から）,3615,420,9,2,,2018/11/2 11:47,2018/11/2 11:50,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443908 139.635249,イセザキ・モール,2018/11/2 11:48,2018/11/2 11:48,2018/11/2 11:54,2018/11/2 11:54,2018/11/2 11:48,2018/11/2 11:48,0:03:06,0:06:12,,00,00,,,2018/11/2 11:38,2018/11/2 11:50,43406.484722222243406.4930555556,肯定的,,,,
-,-,11,2018/11/2 11:39,8504,乗客アプリ（地図から）,3786,581,7,1,,2018/11/2 11:43,2018/11/2 11:50,35.443908 139.635249,イセザキ・モール,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/2 11:42,2018/11/2 11:42,2018/11/2 11:49,2018/11/2 11:49,,2018/11/2 11:39,0:07:19,0:07:19,,00,03,,,2018/11/2 11:39,2018/11/2 11:50,43406.485416666743406.4930555556,#N/A,,,,
-,-,11,2018/11/2 11:43,8506,まちかど端末（乗降ポイントから）,0,101,6,1,,2018/11/2 11:45,2018/11/2 11:50,35.450447 139.635947,みなとみらい線　馬車道駅,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/2 11:45,2018/11/2 11:45,2018/11/2 11:51,2018/11/2 11:51,,2018/11/2 11:43,0:04:28,0:04:28,,00,02,,,2018/11/2 11:43,2018/11/2 11:50,43406.488194444443406.4930555556,#N/A,,,,
-,-,11,2018/11/2 11:43,8507,まちかど端末（乗降ポイントから）,0,369,5,3,,2018/11/2 11:47,2018/11/2 11:49,35.447541 139.644914,シルク博物館,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/2 11:45,2018/11/2 11:45,2018/11/2 11:50,2018/11/2 11:50,,2018/11/2 11:43,0:02:44,0:08:12,,01,03,,,2018/11/2 11:43,2018/11/2 11:49,43406.488194444443406.4923611111,#N/A,,,,
-,-,11,2018/11/2 11:45,8508,乗客アプリ（地図から）,2171,881,10,1,,2018/11/2 11:47,2018/11/2 11:53,35.443704 139.651332,ホテルメルパルク横浜,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/2 11:46,2018/11/2 11:46,2018/11/2 11:52,2018/11/2 11:52,,2018/11/2 11:45,0:05:45,0:05:45,,00,02,,,2018/11/2 11:45,2018/11/2 11:53,43406.489583333343406.4951388889,#N/A,,,,
-,-,11,2018/11/2 11:57,8509,乗客アプリ（地図から）,4705,626,6,2,,2018/11/2 12:09,2018/11/2 12:24,35.450681 139.632446,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/2 12:01,2018/11/2 12:06,2018/11/2 12:12,2018/11/2 12:26,,2018/11/2 11:57,0:14:11,0:28:22,,08,12,,,2018/11/2 11:57,2018/11/2 12:24,43406.497916666743406.5166666667,#N/A,,,,
-,-,11,2018/11/2 11:59,8510,まちかど端末（乗降ポイントから）,0,44,1,2,,2018/11/2 12:02,2018/11/2 12:15,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/2 12:01,2018/11/2 12:01,2018/11/2 12:12,2018/11/2 12:22,,2018/11/2 11:59,0:13:12,0:26:24,,00,02,,,2018/11/2 11:59,2018/11/2 12:15,43406.499305555643406.5104166667,#N/A,,,,
★,☆,11,2018/11/2 10:31,8487,乗客アプリWeb（簡単予約）,4693,190,4,1,2018/11/2 10:32,,,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/2 11:31,,2018/11/2 11:44,,2018/11/2 11:31,2018/11/2 11:31,0:00:00,0:00:00,,00,00,,,2018/11/2 10:31,1900/1/0 0:00,43406.43819444440,#N/A,,,,
★,-,12,2018/11/2 11:39,8505,まちかど端末（乗降ポイントから）,0,1001,2,4,,2018/11/2 12:37,2018/11/2 12:47,35.456605 139.635327,横浜ベイホテル東急,35.443908 139.635249,イセザキ・モール,2018/11/2 12:39,2018/11/2 12:39,2018/11/2 12:53,2018/11/2 12:53,2018/11/2 12:39,2018/11/2 12:39,0:09:36,0:38:24,298,00,00,04,03,2018/11/2 11:39,2018/11/2 12:47,43406.485416666743406.5326388889,#N/A,,,,
★,-,12,2018/11/2 12:00,8511,乗客アプリ（目的地から）,4696,687,1,1,,2018/11/2 12:08,2018/11/2 12:15,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/2 12:10,2018/11/2 12:10,2018/11/2 12:21,2018/11/2 12:21,2018/11/2 12:10,2018/11/2 12:10,0:06:28,0:06:28,,00,00,,,2018/11/2 12:00,2018/11/2 12:15,43406.543406.5104166667,#N/A,,,,
-,-,12,2018/11/2 12:01,8512,まちかど端末（店舗から）,0,529,8,2,,2018/11/2 12:05,2018/11/2 12:14,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/2 12:05,2018/11/2 12:05,2018/11/2 12:20,2018/11/2 12:20,,2018/11/2 12:01,0:09:49,0:19:38,,00,03,,,2018/11/2 12:01,2018/11/2 12:14,43406.500694444443406.5097222222,#N/A,,,,
★,-,12,2018/11/2 12:03,8513,まちかど端末（店舗から）,0,128,7,2,,2018/11/2 12:11,2018/11/2 12:22,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/2 12:12,2018/11/2 12:12,2018/11/2 12:27,2018/11/2 12:27,2018/11/2 12:12,2018/11/2 12:12,0:10:39,0:21:18,,00,00,,,2018/11/2 12:03,2018/11/2 12:22,43406.502083333343406.5152777778,#N/A,,,,
★,-,12,2018/11/2 12:04,8514,乗客アプリWeb（目的地から）,4714,985,6,1,,2018/11/2 12:18,2018/11/2 12:24,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454389 139.630904,横浜ランドマークタワー,2018/11/2 12:14,2018/11/2 12:14,2018/11/2 12:32,2018/11/2 12:32,2018/11/2 12:14,2018/11/2 12:14,0:06:04,0:06:04,,04,04,,,2018/11/2 12:04,2018/11/2 12:24,43406.502777777843406.5166666667,#N/A,,,,
★,-,12,2018/11/2 12:07,8515,乗客アプリ（地図から）,4689,182,10,5,,2018/11/2 12:18,2018/11/2 12:26,35.445783 139.642958,横浜情報文化センター,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/2 12:22,2018/11/2 12:22,2018/11/2 12:42,2018/11/2 12:42,2018/11/2 12:17,2018/11/2 12:17,0:07:32,0:37:40,,00,00,,,2018/11/2 12:07,2018/11/2 12:26,43406.504861111143406.5180555556,肯定的,,,,
-,-,12,2018/11/2 12:18,8518,乗客アプリ（目的地から）,3162,769,8,1,,2018/11/2 12:19,2018/11/2 12:26,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/2 12:20,2018/11/2 12:20,2018/11/2 12:27,2018/11/2 12:27,,2018/11/2 12:18,0:06:19,0:06:19,,00,01,,,2018/11/2 12:18,2018/11/2 12:26,43406.512543406.5180555556,#N/A,,,,
-,-,12,2018/11/2 12:24,8519,乗客アプリ（地図から）,3275,914,8,1,,2018/11/2 12:31,2018/11/2 12:49,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/11/2 12:34,2018/11/2 12:34,2018/11/2 12:53,2018/11/2 12:53,,2018/11/2 12:24,0:18:17,0:18:17,,00,06,,,2018/11/2 12:24,2018/11/2 12:49,43406.516666666743406.5340277778,#N/A,,,,
-,-,12,2018/11/2 12:24,8520,乗客アプリ（地図から）,2632,119,10,1,,2018/11/2 12:30,2018/11/2 12:40,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/11/2 12:35,2018/11/2 12:35,2018/11/2 12:54,2018/11/2 12:54,,2018/11/2 12:24,0:09:56,0:09:56,,00,06,,,2018/11/2 12:24,2018/11/2 12:40,43406.516666666743406.5277777778,#N/A,,,,
-,-,12,2018/11/2 12:27,8521,乗客アプリ（目的地から）,4696,121,1,1,,2018/11/2 12:30,2018/11/2 12:40,35.452963 139.642093,横浜赤レンガ倉庫,35.443908 139.635249,イセザキ・モール,2018/11/2 12:29,2018/11/2 12:29,2018/11/2 12:41,2018/11/2 12:41,,2018/11/2 12:27,0:10:08,0:10:08,,01,03,,,2018/11/2 12:27,2018/11/2 12:40,43406.5187543406.5277777778,肯定的,,,,
-,-,12,2018/11/2 12:30,8522,まちかど端末（店舗から）,0,863,7,1,,2018/11/2 12:34,2018/11/2 12:45,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/2 12:38,2018/11/2 12:38,2018/11/2 12:52,2018/11/2 12:52,,2018/11/2 12:30,0:10:52,0:10:52,,00,04,,,2018/11/2 12:30,2018/11/2 12:45,43406.520833333343406.53125,#N/A,,,,
★,-,12,2018/11/2 12:34,8523,乗客アプリWeb（簡単予約）,4714,686,8,1,,2018/11/2 12:39,2018/11/2 12:47,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/2 12:44,2018/11/2 12:44,2018/11/2 12:56,2018/11/2 12:56,2018/11/2 12:44,2018/11/2 12:44,0:07:37,0:07:37,,00,00,,,2018/11/2 12:34,2018/11/2 12:47,43406.523611111143406.5326388889,肯定的,,,,
★,-,12,2018/11/2 12:36,8524,乗客アプリ（目的地から）,3378,956,1,2,,2018/11/2 12:41,2018/11/2 12:51,35.443908 139.635249,イセザキ・モール,35.441441 139.648505,横浜中華街朱雀門,2018/11/2 12:46,2018/11/2 12:46,2018/11/2 12:57,2018/11/2 12:57,2018/11/2 12:46,2018/11/2 12:46,0:09:34,0:19:08,,00,00,,,2018/11/2 12:36,2018/11/2 12:51,43406.52543406.5354166667,#N/A,,,,
★,-,12,2018/11/2 12:39,8525,乗客アプリ（目的地から）,4411,319,3,2,,2018/11/2 12:52,2018/11/2 13:06,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/2 12:49,2018/11/2 12:49,2018/11/2 13:01,2018/11/2 13:01,2018/11/2 12:49,2018/11/2 12:49,0:14:22,0:28:44,,02,02,,,2018/11/2 12:39,2018/11/2 13:06,43406.527083333343406.5458333333,#N/A,,,,
-,-,12,2018/11/2 12:42,8528,まちかど端末（店舗から）,0,374,2,1,,2018/11/2 13:00,2018/11/2 13:11,35.456605 139.635327,横浜ベイホテル東急,35.443908 139.635249,イセザキ・モール,2018/11/2 13:00,2018/11/2 13:00,2018/11/2 13:14,2018/11/2 13:14,,2018/11/2 12:42,0:10:16,0:10:16,,00,17,,,2018/11/2 12:42,2018/11/2 13:11,43406.529166666743406.5493055556,#N/A,,,,
-,-,12,2018/11/2 12:45,8529,乗客アプリ（地図から）,3869,542,9,3,,2018/11/2 12:52,2018/11/2 13:05,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.441441 139.648505,横浜中華街朱雀門,2018/11/2 12:55,2018/11/2 12:55,2018/11/2 13:16,2018/11/2 13:16,,2018/11/2 12:45,0:13:18,0:39:54,,00,07,,,2018/11/2 12:45,2018/11/2 13:05,43406.5312543406.5451388889,#N/A,,,,
-,-,12,2018/11/2 12:51,8530,乗客アプリWeb（簡単予約）,4714,881,8,1,,2018/11/2 12:56,2018/11/2 13:04,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443908 139.635249,イセザキ・モール,2018/11/2 12:53,2018/11/2 12:53,2018/11/2 13:03,2018/11/2 13:03,,2018/11/2 12:51,0:07:30,0:07:30,,02,05,,,2018/11/2 12:51,2018/11/2 13:04,43406.535416666743406.5444444444,肯定的,,,,
★,☆,12,2018/11/2 12:39,8526,乗客アプリ（地図から）,3869,216,9,3,2018/11/2 12:44,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.441441 139.648505,横浜中華街朱雀門,2018/11/2 13:01,,2018/11/2 13:22,,2018/11/2 12:49,2018/11/2 12:49,0:00:00,0:00:00,,00,11,,,2018/11/2 12:39,1900/1/0 0:00,43406.52708333330,#N/A,,,,
